date,calories,gsr,heart-rate,skin-temp,steps
2015-06-28 19:58Z,1.2,0.000747257,42,89.6,0
2015-06-28 19:59Z,1.2,0.000844022,40,89.6,0
2015-06-28 20:00Z,1.2,0.000897007,42,90.5,0
2015-06-28 20:01Z,1.2,0.000927297,41,90.5,0
2015-06-28 20:02Z,1.2,0.00096393,39,90.5,0
2015-06-28 20:03Z,1.3,0.000927297,41,90.5,0
2015-06-28 20:04Z,1.2,0.000912026,41,90.5,0
2015-06-28 20:05Z,1.2,0.000927297,42,90.5,0
2015-06-28 20:06Z,1.4,0.00097466,44,90.5,0
2015-06-28 20:07Z,1.2,0.000585736,41,90.5,0
2015-06-28 20:08Z,1.3,0.000352006,41,90.5,0
2015-06-28 20:09Z,1.2,0.000507227,39,90.5,0
2015-06-28 20:10Z,1.2,0.000755575,41,90.5,0
2015-06-28 20:11Z,1.3,0.000825541,41,90.5,0
2015-06-28 20:12Z,1.2,0.000867707,39,90.5,0
2015-06-28 20:13Z,1.2,0.000887132,40,90.5,0
2015-06-28 20:14Z,1.2,0.000927297,41,90.5,0
2015-06-28 20:15Z,1.2,0.00096393,40,91.4,0
2015-06-28 20:16Z,1.2,0.00096928,40,91.4,0
2015-06-28 20:17Z,1.2,0.00099648,39,91.4,0
2015-06-28 20:18Z,1.2,0.00102444,40,91.4,0
2015-06-28 20:19Z,1.2,0.00103585,39,91.4,0
2015-06-28 20:20Z,1.2,0.00105319,39,91.4,0
2015-06-28 20:21Z,1.3,0.00107082,41,91.4,0
2015-06-28 20:22Z,1.2,0.0010948,40,91.4,0
2015-06-28 20:23Z,1.2,0.00110698,39,91.4,0
2015-06-28 20:24Z,1.2,0.00112552,39,91.4,0
2015-06-28 20:25Z,1.2,0.00113805,39,91.4,0
2015-06-28 20:26Z,1.2,0.00114436,40,91.4,0
2015-06-28 20:27Z,1.2,0.0011571,39,91.4,0
2015-06-28 20:28Z,1.2,0.00116998,40,91.4,0
2015-06-28 20:29Z,1.2,0.00118957,40,91.4,0
2015-06-28 20:30Z,1.2,0.00118957,39,91.4,0
2015-06-28 20:31Z,1.3,0.00120281,40,92.3,0
2015-06-28 20:32Z,1.2,0.00117648,40,91.4,0
2015-06-28 20:33Z,1.2,0.00118301,39,91.4,0
2015-06-28 20:34Z,1.2,0.00119617,41,91.4,0
2015-06-28 20:35Z,1.2,0.00120281,40,91.4,0
2015-06-28 20:36Z,1.2,0.00122295,41,92.3,0
2015-06-28 20:37Z,1.2,0.00124343,39,92.3,0
2015-06-28 20:38Z,1.2,0.00123657,40,92.3,0
2015-06-28 20:39Z,1.2,0.00122974,40,92.3,0
2015-06-28 20:40Z,1.2,0.00124343,39,92.3,0
2015-06-28 20:41Z,1.2,0.00125727,39,92.3,0
2015-06-28 20:42Z,1.3,0.00125033,39,92.3,0
2015-06-28 20:43Z,1.2,0.00127127,41,92.3,0
2015-06-28 20:44Z,1.2,0.00127127,39,92.3,0
2015-06-28 20:45Z,1.2,0.00128542,40,92.3,0
